;links;titulo;instituicao;data_ini;valor_bolsa;descr_detalhada
1;https://erefdn.org/non-recyclable-plastics-to-pavements/;Non-Recyclable Plastics to Pavements;University of Illinois Urbana-Champaign;TBD;161075;"This proposal seeks to create high-value and high-volume products from plastic waste for bitumen (asphalt binder) replacement in pavements. The bitumen replacement market is a potential repurposing for large quantities of waste plastics. It addresses an urgent economic and environmental need for plastic recycling as well as the transportation industry. With 4-5% replacement of bitumen, this market has the potential to consume 1 million tons of waste plastics out of the 26 million tons that go to landfills in the US. Also, the study goal is aligned with the global emphasis on enhancing transportation infrastructure sustainability. Moreover, asphalt pavements are 100% recyclable; therefore, plastic waste will remain in a recycling circular loop. Plastic waste, from landfill destined municipal solid waste (MSW), will be formulated for incorporation in bitumen that meets specified rheological and mechanical performance. Through manipulation of the chemical and molecular composition of waste plastics, current challenges, including sorting and processing of different plastics, storage instability and compatibility between bitumen and various plastics will be addressed.
The objectives of this study are as follows:
Develop compatibility and blending methodology of various plastic waste plastic for bitumen modification.
Investigate the suitability of plastic types and mixed plastics for modifying bitumen.
Determine the storage stability of plastic waste modified bitumen.
Perform chemical and rheological characterization of plastic-modified bitumen.
Quantify environmental benefits using life cycle assessment (LCA) for plastic-modified bitumen."
2;https://erefdn.org/techno-economic-evaluation-of-supercritical-water-oxidation-for-landfill-leachate-and-condensate-management/;Techno-Economic Evaluation of Supercritical Water Oxidation for Landfill Leachate and Condensate Management;Duke University;Oct 2020;152000;"Landfill leachate and condensate management can be a major cost of operating a landfill and they are an important contingent liability. For example, polyfluoroalkyl substances (PFAS) are now found in many landfills and cause great concerns to owners and operators. Supercritical water oxidation (SCWO) is game-changing treatment technology that could provide superior treatment with better economics. The Deshusses’ lab is leading the US with its new SCWO technology. It is well positioned to evaluate this technology at a technology readiness level (TRL7) leveraging past and existing funding. The objectives of this project are to demonstrate the technical and economic feasibility of using SCWO at landfills in the US.
Supporting objectives to reach these goals are to:
Demonstrate treatment of representative landfill leachates, condensates and concentrated liquids such as leachate reverse osmosis (RO) concentrate in our pilot 1 ton/day SCWO system with specific focus on PFAS and emerging contaminants.
Conduct a detailed economic analysis of using SCWO at landfills at larger scale. This will include early assessment of scale and SCWO system throughout. If this assessment indicates that concentration of leachates and condensates (e.g., using reverse osmosis) followed by SCWO is the preferred route for treatment, the project will focus on treatment of concentrated liquids such as RO leachate concentrates.
Explore treatment synergies (e.g., hazardous wastes, PFAS contaminated sludge, selected organic wastes TBD with EREF) that may be co-treated with leachate/condensate or RO concentrates and that may affect the economic outcome."
3;https://erefdn.org/effectiveness-of-landfill-liners-to-control-transport-of-pfas/;Effectiveness of Landfill Liners to Control Transport of PFAS;University of Virginia;Jan 2020;142000;"The efficacy of Subtitle D landfill lining systems to control the transport of polyfluorinated alkyl substances (PFAS) has been called into question through the fervor associated with the potential toxicity of PFAS and their common presence in landfill leachate. There is an urgent need to develop data describing the effectiveness of landfill liner materials to contain PFAS. Past research, gives us every reason to expect that the landfill liners used today are highly effective in containing PFAS. Without data, however, proponents can make a strong argument that landfills with PFAS in leachate pose a significant threat.
Within this context, the two primary objectives of proposed study are:
Characterize the transport properties of PFAS in typical materials used for Subtitle composite liners.
Conduct bench-scale composite liner experiments coupled with modeling predictions to evaluate transport of PFAS in composite liners, and draw authoritative conclusions regarding the efficacy of Subtitle D liners to contain PFAS in MSW leachate."
4;https://erefdn.org/repair-strategies-for-waste-transfer-station-concrete-overlays/;Repair Strategies for Waste Transfer Station Concrete Overlay;North Carolina State University;Mar 2020;195000;"Recently, it has been shown that the premature deterioration of concrete overlays in waste transfer stations is a result of simultaneous exposure to leachate (organic acids) and mechanical abrasion by waste handling equipment. In our previous research, we developed a material design guide and specification that owners can use for design or bidding. There are however, important limitations to the  developed guide in that it: (1) does not address repair strategies and repair material selection, (2) is limited to portland cement concrete, (3) does not cover the use of unconventional concretes such as iron aggregate and epoxy matrix, (4) applies to slabs with a minimum of 6-inch thickness and does not cover thin precast and prestressed overlays, and (5) does not include provisions for the use chemical or mineral admixtures that can increase the acid resistance of concrete. The industry is in need of low cost and effective repair strategies for existing concrete overlays.
The goal of the proposed research is to develop a guideline for repair strategies and repair material selection that can be:
Used by owners and operators of waste transfer stations
Adopted and implemented by contractors without the need for specialized equipment and labor."
5;https://erefdn.org/innovative-technologies-to-treat-per-and-polyfluoroalkyl-substances-pfas-in-landfill-leachate/;Innovative Technologies to Treat Per- and Polyfluoroalkyl Substances (PFAS) in Landfill Leachate;Clarkson University;February 2020;145000;"Disposing of leachate-containing per- and poly-fluoroalkyl substances (PFAS) is one of the most pressing issues surrounding the operation of landfills due to limited destructive technologies and high disposal costs. This proposal will build on successful preliminary results with two destructive PFAS technologies, electrical discharge plasma (EDP) and electrochemical oxidative filtration (EOF) with further bench-scale testing so these technologies can be scaled for field applications.
There are two overall objectives of this work:
Measure PFAS destruction in leachate using two novel treatment processes: EDP and EOF.
Use the information obtained in Objective 1 to prepare a detailed feasibility assessment of the two technologies for treating leachate and develop an on-site pilot-scale demonstration plan."
6;https://erefdn.org/polymer-based-pre-treatment-for-removal-of-pfas-from-landfill-leachate/;Polymer-Based Pre-Treatment for Removal of PFAS from Landfill Leachate ;Geosyntec;March 2020;105000;"Per- and polyfluoroalkyl substances (PFAS) are a class of compounds with some or all of the hydrogens in their carbon chain substituted with fluorine. Traditional technologies for treating leachate, including aeration and sedimentation, are insufficient to remove PFAS. Thus, there is a need for pre-treatment alternatives to remove PFAS from landfill leachate and enable landfill operators to continue to sustainably manage landfill leachate via current disposal methods. The team seeks to adapt the technology of applying cationic polymer coagulants currently used in wastewater and drinking water treatment to sequester PFAS for integration with common landfill leachate pre-treatment practices to remove PFAS from leachate.
The specific objectives of the proposed work are:
To demonstrate the removal of PFAS from landfill leachate through the application of select cationic polymers.
To demonstrate the stability of sequestered PFAS.
To develop a process design and economic feasibility analysis for the integration of this technology into a typical leachate pre-treatment process (e.g., sedimentation ponds)."
7;https://erefdn.org/the-influence-of-social-norms-on-recycling-behavior-in-urban-multifamily-buildings/;The Influence of Social Norms on Recycling Behavior in Urban Multifamily Buildings;Stony Brook University;;;"The primary goal of this proposal is to test the influence of social norms on recycling behavior in multifamily buildings in the New York City area. Recycling rates for multifamily buildings are lower than single family homes, and even when residents are knowledgeable about what is recyclable, knowledge of non-recyclables lags, leading to significant contamination. While multifamily recycling research strongly emphasizes the role of convenience in increasing recycling, once such structural characteristics are in place there is a need to look to behavioral factors to see further gains. While social norm-based interventions are well-studied in the energy field, there is less work in this area for recycling research, highlighting an important gap.
The objectives of the research are to:
Assess the effectiveness of social-norm based interventions on household recycling behavior in multifamily buildings
Determine if significant differences in effectiveness exist between two different social norm-based interventions – peer pressure and competition
Develop outcomes and recommendations that form the basis for replicability in buildings of other sizes, types, and uses"
8;https://erefdn.org/recycling-contamination-markets-and-mrfs-practical-strategies-for-communities-non-profits-and-mrfs/;Recycling, Contamination, Markets and Material Recovery Facilities (MRFs): Practical Strategies for Communities, Non-Profits, and MRFs;Skumatz Economic Research Associates, Inc.;;;"Material Recovery Facilities (MRFs) can technically produce quality materials out of dual stream and single stream inputs, but were not designed or equipped to process material with 20% or more trash/contamination. This research addresses three main topics – what can be done to get cleaner materials, and what makes sense to recycle (collect and process), and is there a sustainable recycling structure. The goal is to identify feasible (short and long term) strategies for developing a sustainable recycling system for small/medium/larger communities and non-profits, providing clean-enough “commodities” that meet the needs of end-users – both domestic and international.
Objectives include:
Identify a range of short- and long-term workable strategies (with supporting data and case studies) that clean up the recycling stream (in and out)
Analyze tradeoffs in processing & collection to identify material mixes and processing alternatives that are economically sustainable, but optimize/provide strong recycling program performance, low contamination, and high diversion
Develop template materials, case studies, and resources for guidance, and publicize the results"
9;https://erefdn.org/development-of-recognizable-recycled-paper-based-containerboard-products-and-their-ability-to-promote-positive-brand-recognition/;Development of Recognizable Recycled Paper Based Containerboard Products and Their Ability to Promote Positive Brand Recognition;North Carolina State University;N/A;;"There is a growing interest in sustainable packaging given the public’s increasing awareness of packaging environmental issues. At the same time, recent waste import restrictions by China are destabilizing the demand for low quality waste materials. This research proposes that paper based packaging with obvious recycled content from low quality waste can instill positive perceptions from consumers about a product or brand, making these containers more desirable. The overall goal of this research is to develop systems to effectively utilize low-grade paper wastes in innovative containers, with recognizable recycled content, in order to increase and stabilize the demand for low-grade recovered paper.
The objectives of this research includes the following:
1. Evaluate the product performance of using low-grade paper wastes in packaging materials with obvious recycled content
2. Perform an economic/LCA sustainability evaluation on the new products
3. Evaluate the desirability of having packaging with obvious recycled content from the perspective of companies that use packaging
4. Determine if packaging with obvious recycled content develops a strong positive brand or product impression with the public"
10;https://erefdn.org/recovering-high-value-acids-from-anaerobic-co-digestion-of-municipal-solid-waste-and-grease-interceptor-waste-using-an-electrically-driven-separation-process/;Recovering High Value Acids from Anaerobic Co-digestion of Municipal Solid and Grease Interceptor Waste Using an Electrically Driven Separation Process;North Carolina State University and University of North Carolina at Chapel Hill;May 2019;16700;"Re-engineering the anaerobic co-digestion (co-AD) of organic-rich, municipal solid waste (MSW) to yield high-value chemical products could dramatically change the economics of co-AD technologies. Conventional co-AD, in which two distinct waste streams are digested together (e.g., food waste and wastewater solids), generates methane gas (CH4). However, the low market value of CH4 ($160/ton) translates into a long return on initial capital investment and limits revenue generation that could help offset maintenance and operating costs. Shutting down the biological pathways to CH4 production in co-AD (via inhibition of methanogenesis) can result in the production of volatile fatty acids (VFAs) without compromising solids destruction goals. For example, research at NCSU has shown that increasing grease interceptor waste (GIW) loading beyond certain thresholds during co-AD with waste activated sludge can stop CH4 production and lead to generation of the VFAs acetic, propionic, butyric, and valeric acids. These VFAs have current market values in the range of $525 (acetic acid) to $6,000 (valeric acid) per ton and are therefore significantly more valuable than CH4. While the knowledge of how to operate co-AD to generate VFAs exists, the primary challenge facing implementation of this approach is the lack of effective methods to separate and recover VFAs from co-AD.
The overall goal of the proposed research is to demonstrate the technical feasibility of recovering VFAs from co-AD using electrochemical methods. To accomplish this overall goal, the following specific objectives will be pursued:
To determine how the composition of organic-rich, solid waste mixtures impacts VFA production during co-AD.
To measure VFA recovery efficiencies and rates using an electrochemical-based separation process.
To build and test a scalable electrochemical cell (e-cell) design that will be used to validate VFA recovery from co-AD effluents."
